layer,source,sentence
Layer_1_Identity,Homepage_About,CONTEC CONTEC Family APSI TXSpace KOR ENG 메뉴 전체보기 메뉴보기 memu close APSI APSI TXSpace TXSpace TEL 042 863 4223 FAX 042 863 4524 E MAIL info contec.kr ABOUT US 컨텍소개 컨텍소개 컨텍 그룹소개 컨텍 사람들 연혁 파트너 오시는길 문의사항 SOLUTION 지상국 시스템 엔지니어링 지상국 Trun key 솔루션 지상국 운영 소프트웨어 글로벌 지상국 서비스 글로벌 지상국 네트워크 지상국 호스팅 서비스 위성영상 자료처리 광학위성처리 솔루션 레이더 위성처리 솔루션 위성영상 분석 SPACE STUDIO 위성관제 솔루션 위성관제 운영서비스 위성관제 엔지니어링 위성영상 판매 KOMPSAT 위성영상 ICEYE 위성영상 컨텍 오름 위성영상 RECRUIT MEMBERSHIP Membership 맴버쉽 소개 및 가입 뉴스레터 PR CENTER 뉴스 이벤트 행사 Asian Space Park ASP 공시정보 게시판 ISS ABOUT US 컨텍소개 컨텍소개 컨텍 그룹소개 컨텍 사람들 연혁 파트너 오시는길 문의사항 SOLUTION 지상국 시스템 엔지니어링 지상국 Trun key 솔루션 지상국 운영 소프트웨어 글로벌 지상국 서비스 글로벌 지상국 네트워크 지상국 호스팅 서비스 위성영상 자료처리 광학위성처리 솔루션 레이더위성처리 솔루션 위성영상 분석 SPACE STUDIO 위성관제 위성관제시스템 운영서비스 위성관제시스템 엔지니어링 위성영상 판매 KOMPSAT 위성영상 ICEYE 위성영상 컨텍 오름 위성영상 RECRUIT 컨텍 사람들 채용안내 MEMBERSHIP 맴버쉽 소개 맴버쉽 소개 및 가입 뉴스레터 PR CENTER 뉴스 이벤트 행사 Asian Space Park ASP 공시정보 게시판 ISS Awake Your Infinite Potential With CONTEC 컨텍은 우주지상국 서비스 및 위성영상 분야 글로벌 선두 기업입니다.
Layer_1_Identity,Homepage_About,컨텍소개 컨텍 그룹 소개 컨텍 사람들 연혁 파트너 오시는길 문의사항 컨텍소개 메뉴닫기 메뉴열기 컨텍소개 컨텍 그룹 소개 컨텍 사람들 연혁 파트너 오시는길 문의사항 Company Introduction 인사말 우주 스타트업의 생태계 조성을 위해 건전한 기업가 정신 및 첨단 기술을 바탕으로 대한민국의 우주산업을 선도하겠습니다.
Layer_1_Identity,Homepage_About,컨텍은 2015년 1월 5일 열정과 꿈만으로 설립된 기업입니다.
Layer_1_Identity,Homepage_About,제가 가장 좋아하는 두 개의 단어는 어머니 와 열정 입니다.
Layer_1_Identity,Homepage_About,"이 열정을 품고, 저는 2002년부터 한국항공우주연구원 소속 나로우주센터에서 근무했으며, 한국 우주 프로그램 중 하나인 KSLV 1 프로젝트에도 참여했습니다."
Layer_1_Identity,Homepage_About,"지난날들을 회상해 보면, 다른 우주 산업 선진국들과 비교해 국내 위성 발사 및 활용 핵심기술은 아직 개선할 부분들이 있다고 생각합니다."
Layer_1_Identity,Homepage_About,하지만 저희는 풍부한 경험과 노력을 바탕으로 국내 미래 우주 산업의 무궁무진한 가능성을 열고 있습니다.
Layer_1_Identity,Homepage_About,실제로 저와 컨텍 팀원들은 새로운 도전을 거듭하며 꿈과 열정 이 가진 힘을 몸소 경험하고 있습니다.
Layer_1_Identity,Homepage_About,"컨텍은 앞으로도 더 큰 꿈과 비전을 향해 고객 및 협력사와 함께 나아갈 것이며, 우주 산업계에서 저희의 역할을 잊지 않고 혁신적인 경영 철학을 실천하겠습니다."
Layer_1_Identity,Homepage_About,주 컨텍 Chairman 비전 및 미션 Mission 우리는 모두가 사용할 수 있는 지속 가능한 우주를 만듭니다.
Layer_1_Identity,Homepage_About,Vision 지상분야에서의 토탈 솔루션을 제공하는 세계 유일의 우주 기업으로 성장 Core Value Value 우주 산업의 새로운 가치 추구 Collaboration 국내외 협력을 통한 우주 생태계 활성화 Innovation 혁신적인 우주 기술 개발 Social Responsibility 책임 있는 ESG 경영 실천
Layer_1_Identity,Business_Report_2026,사업의 내용.........................................................................................................................................14 1.
Layer_1_Identity,Business_Report_2026,사업의 개요....................................................................................................................................14 2.
Layer_1_Identity,Business_Report_2026,전문가와의 이해관계....................................................................................................................242 사 업 보 고 서 제 11 기 사업연도 2025년 01월 01일 부터 2025년 12월 31일 까지 금융위원회 한국거래소 귀중 2026년 03월 23일 제출대상법인 유형 주권상장법인 면제사유발생 해당사항 없음 회 사 명 주 컨텍 대 표 이 사 이성희 본 점 소 재 지 대전광역시 유성구 지족로 148번길 5 34 전 화 042 863 4523 홈페이지 http www.contec.kr 작 성 책 임 자 직 책 상무이사 성 명 변재윤 전 화 042 863 4523 전자공시시스템 dart.fss.or.kr Page 1 대표이사 등의 확인 전자공시시스템 dart.fss.or.kr Page 2 I.
Layer_1_Identity,Business_Report_2026,설립일자 당사는 우주산업 Downstream에서 요구되는 모든 솔루션을 제공하기 위한 목적으로2015년 01월 05일에 설립되었습니다.
Layer_1_Identity,Business_Report_2026,"주요 사업의 내용 컨텍 및 종속회사들은 우주산업의 업스트림과 다운스트림 전 영역을 아우르는 풀 버티컬 체 인을 완성하였으며, 이에 차별화된 경쟁력으로 다양한 솔루션을 제공하고 있습니다."
Layer_1_Identity,Business_Report_2026,"우선, 다 운스트림 분야에서는 지상국 안테나 및 모뎀 제작부터 관제 임무를 지원하는 지상시스템 개 발, 지상국 시스템 엔지니어링 구축, 위성과 지상국간의 데이터 송수신 서비스를 제공하는 GSaaS 네트워크 솔루션, 위성 원본 영상 데이터를 전 후 처리하여 표준영상으로 생성하는 품질보정 솔루션과 AI 딥러닝을 통한 위성영상 분석 솔루션을 제공하고 있습니다."
Layer_1_Identity,Business_Report_2026,"그리고 위성통신 단말기를 제조하여 UAE 및 유럽에 대규모 납품을 진행중인 동시에 사막이나 바다 등의 오지에서도 통신이 가능한 위성통신 서비스를 제공함으로써 B2G, B2B를 넘어 B2C까지 사업 영역을 확대하고 있습니다."
Layer_1_Identity,Business_Report_2026,위 각호에 관련된 부대사업 전자공시시스템 dart.fss.or.kr Page 4 아.
Layer_1_Identity,Business_Report_2026,최대주주의 변동 1 주 컨텍 당사는 공시대상기간 중 해당사항 없습니다.
Layer_1_Identity,Business_Report_2026,회사의 업종 또는 주된 사업의 변화 1 주 컨텍 당사는 공시대상기간 중 해당사항 없습니다.
Layer_1_Identity,Business_Report_2026,"2 주요 종속회사 에이피위성 주 의 주요 목적사업은 인공위성 및 인공위성 관련부품, 위성통신단말기의 개발 및 제조 이며, 2024년 07월 26일 기준으로 주식회사 컨텍과 에이피위성 주식회사 간의 주 2022.03.30 정기주총 사외이사 강민수 사외이사 신아람 사임 2022.06.10 임시주총 감사 신창호 2022.08.26 임시주총 사외이사 신아람 사내이사 서동춘 사내이사 이재원 감사 정성호 감사 신창호 등기해제 사내이사 권오성 사임 2023.03.28 정기주총 대표이사 이성희 2023.05.25 임시주총 사외이사 김재현 사외이사 곽수영 사외이사 신아람 사임 사외이사 강민수 사임 2025.03.28 정기주총 사내이사 이재원 사내이사 서동춘 감사 정성호 기준일 2025년 12월 31일 회사명 최종변경일 대표이사 사내이사 기타비상무이사 사외이사 감사 에이피위성 주 2024.07.26 이성희 이성희 서동춘 최차규 정헌주 유경호 기준일 2025년 12월 31일 구분 회사명 주주 지분율 최대주주 여부 1 에이피위성 주 주 컨텍 24.72 최대주주 전자공시시스템 dart.fss.or.kr Page 6 식 양수 거래로 인하여 주요종속회사에 편입되었습니다."
Layer_1_Identity,Business_Report_2026,"그 밖에 경영활동과 관련된 중요한 사항의 발생내용 회사명 업종 주요 사업 에이피위성 주 통신장비의 개발, 제작, 판매, 임대 및 서비스업 인공위성 및 인공위성 관련부품의 제조 및 판매업 전자, 전기, 통신, 기계 제품 및 그 부품의 제작, 판매, 임대 및 서비스 업 주파수를 할당 받아 제공하는 역무에 해당하는 위성서비스 기간통신사 업 년도 월 내 용 2025년 8월 첨단기술기업 지정 1월 청년일자리 강소기업 선정 2024년 12월 가족친화기업 인증 유망중소기업 인증 11월 해외직접수출계약 체결 225억원 06월 AP위성 주 인수 05월 발명의 날 대통령 표창 수상 04월 TXSpace 미국법인 설립 03월 컨텍 자체위성 오름 SAT 발사 성공 2023년 11월 코스닥시장 상장 05월 기술특례상장을 위한 기술평가 A 등급 획득 한국발명진흥회, 한국평가데이 터 02월 기술혁신형 중소기업 이노비즈 인증 01월 다목적실용위성 판매대행업체 선정 01월 경영혁신형 중소기업 메인비즈 인증 2022년 12월 정보통신산업진흥원 원장상 수상 12월 ISO 9001 인증 획득 06월 누리호 KSLV III 성능검증위성 발사 운용 지원 06월 425 지상체구축 사업 참여 06월 Series C 610억원 투자유치 완료 01월 방산관련 업체 등록 2021년 12월 대한민국 벤처창업진흥 유공포상 산업포장 수훈 일자리창출 유공 국무총리 표창 10월 CONTEC 위성 16U 초소형위성, 23년 3분기 발사 개발 계약체결 07월 비밀특례 업체 지정, 국방 사업 참여 업체등록 03월 Series B 120억원 투자유치 완료 전자공시시스템 dart.fss.or.kr Page 7 3."
Layer_1_Identity,Business_Report_2026,자기주식 보유현황 최근 사업연도말 기준으로 발행주식총수의 1 이상 자기주식을 보유시 작성대상으로 개정 되어 개정전 5 이상 당기말부터 작성대상에 해당합니다.
Layer_1_Identity,Business_Report_2026,"자기주식 취득 처분 소각 관련 장기 계획 당사는 관련 법령에 근거해 장기적으로 자기주식을 활용한 소각, 처분 및 임직원 보상 등 다 양한 방법을 검토 중에 있으나 본 보고서 제출일 현재 구체적으로 정해진 내용은 없습니다."
Layer_1_Identity,Business_Report_2026,"정관의 이력 본 사업보고서에 첨부된 정관의 최근 개정일은 2024년 8월 2일이며, 2026년 3월 31일 개최 되는 정기주주총회 안건에는 아래와 같은 정관 변경 안건이 포함되어 있습니다."
Layer_1_Identity,Business_Report_2026,사업목적 현황 2020.10.27 제 6기 임시주주총회 1.
Layer_1_Identity,Business_Report_2026,"이사의 직무, 이사의 보수와 퇴직금 신설 전자주주총회 도입 상법개정 반영 회사의 영업상 정비 구 분 사업목적 사업영위 여부 1 연구개발용역업 영위 2 소프트웨어 개발 및 공급업 영위 3 하드웨어 개발 및 공급업 영위 4 유 무선 시스템 설계, 통합 SE 및 유지보수업 영위 5 위성 및 위성발사체 지상운용 서비스업 영위 6 위 각호에 관련된 무역 중개업 영위 7 정보통신공사업 영위 8 학술연구용역업 영위 9 전시,컨벤션 및 행사 대행업 영위 10 기타 무선 통신장비 제조업 영위 11 유선 통신장비 제조업 영위 12 건물 시설 관리용역업 영위 13 무선 및 위성 통신업 영위 14 통신판매업 영위 15 부동산 임대 및 공급업 영위 전자공시시스템 dart.fss.or.kr Page 12 16 위 각호에 관련된 부대사업 영위 전자공시시스템 dart.fss.or.kr Page 13 II."
